disasterNumber,damagedCity,damagedStateAbbreviation,damagedZipCode,householdComposition,grossIncome,specialNeeds,ownRent,residenceType,homeOwnersInsurance,floodInsurance,inspected,rpfvl,habitabilityRepairsRequired,destroyed,waterLevel,highWaterLocation,floodDamage,foundationDamage,foundationDamageAmount,roofDamage,roofDamageAmount,tsaEligible,tsaCheckedIn,rentalAssistanceEligible,rentalAssistanceAmount,repairAssistanceEligible,repairAmount,replacementAssistanceEligible,replacementAmount,sbaEligible,renterDamageLevel,rentalAssistanceEndDate,rentalResourceCity,rentalResourceStateAbbreviation,rentalResourceZipCode,primaryResidence,personalPropertyEligible,ppfvl,censusBlockId,id,censusYear
4332,HOUSTON,TX,77036.0,1.0,1800.0,1.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,482014329011042.0,d214ed1e-951e-484b-b014-2a885a7ea234,2010.0
4337,SARASOTA,FL,34238.0,1.0,,0.0,Renter,Condo,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,121150020081000.0,e7b10c4f-adec-4a58-a4fc-85b5a20dfa4c,2010.0
4337,KISSIMMEE,FL,34758.0,1.0,28000.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120970411001031.0,0832cc95-c445-4429-956c-e2d1864d37ac,2010.0
4339,ARECIBO,PR,612.0,2.0,2100.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,199.99,720133001013000.0,63bc856a-5cfa-44c8-96e1-f1866735cf94,2010.0
4559,SULPHUR,LA,70663.0,4.0,55000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220190031021019.0,ce6f1140-3777-41d8-8da0-f7f4891b2228,2020.0
4332,HOUSTON,TX,77088.0,1.0,23000.0,0.0,Renter,Apartment,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,482015327003002.0,f47b5c56-74b6-4572-844b-64aaacb85234,2010.0
4332,RICHMOND,TX,77407.0,1.0,80000.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,481576729001053.0,5a0ce260-01f8-4112-8ed3-9c55bec78ab4,2010.0
4337,OVIEDO,FL,32765.0,4.0,,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,121170213161009.0,e721b814-9650-42e0-9a53-71da1e43294e,2010.0
4337,NAPLES,FL,34116.0,4.0,28000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120210104103001.0,bfe940b0-5c0d-4b06-a2ba-424e728f220d,2010.0
4337,TAMARAC,FL,33321.0,3.0,,0.0,Owner,House/Duplex,1.0,1.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120110204141011.0,5cb02b42-ce4c-47f3-b298-6403ed6ed398,2010.0
4337,MIAMI,FL,33147.0,1.0,20000.0,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120860009031010.0,0d0ec492-7040-4507-9d4a-e01c538f579e,2010.0
4339,PONCE,PR,728.0,1.0,22000.0,0.0,Owner,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,721130730061005.0,dac47bfe-7c66-4d2a-a4e4-643b0fbea4b8,2010.0
4586,LA MARQUE,TX,77568.0,2.0,,0.0,Renter,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,481677230002005.0,165fa89b-1d48-4674-ad07-0fd0514dd1ec,2020.0
4611,NEW ORLEANS,LA,70115.0,1.0,40000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,1.0,1061.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,220710099003006.0,27cef179-eb0f-44c5-9a91-7b71eea76102,2020.0
4332,BEAUMONT,TX,77701.0,1.0,20400.0,1.0,Owner,House/Duplex,0.0,0.0,1.0,804.18,0.0,0.0,0.0,,0.0,0.0,,1.0,79.3,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,482450019001038.0,da2f08ef-2c26-4e84-b8e1-a9a1d692a7f7,2010.0
4332,PEARLAND,TX,77584.0,3.0,5500.0,0.0,Renter,Apartment,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,480396606022047.0,4548a748-8bc0-4460-80b7-81666706a80b,2010.0
4337,MIAMI GARDENS,FL,33056.0,2.0,13000.0,0.0,Renter,Other,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,120860099042011.0,68c1d0a9-ae6e-4c5b-b611-5ff3c27c7d7f,2010.0
4337,MELBOURNE,FL,32935.0,2.0,157000.0,0.0,Owner,House/Duplex,1.0,1.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120090641272054.0,77f6a7ae-208b-462c-8a5d-ae30b9ff42e5,2010.0
4339,SANTA ISABEL,PR,757.0,2.0,17740.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,262.5,721339536001044.0,ea234025-d50f-4ed4-8660-a94346647daf,2010.0
4586,HOUSTON,TX,77073.0,3.0,4500.0,0.0,Owner,House/Duplex,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,482012407041012.0,a0b71f89-df22-49cb-8c5d-07045390f838,2020.0
4611,ROSELAND,LA,70456.0,2.0,25000.0,0.0,Renter,Mobile Home,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,891.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,80.0,221059534021006.0,89e9db12-945c-4685-b501-e65606bb344d,2020.0
4339,PENUELAS,PR,624.0,1.0,10440.0,0.0,Owner,House/Duplex,0.0,0.0,1.0,108.41,1.0,0.0,0.0,,0.0,0.0,,1.0,6.1,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,1.0,559.49,721117303001024.0,e947e0c4-040c-4c23-83b6-0802e41e3b48,2010.0
4559,SHREVEPORT,LA,71108.0,3.0,1800.0,0.0,Renter,House/Duplex,0.0,0.0,1.0,,1.0,0.0,5.0,,1.0,0.0,,0.0,,0.0,0.0,1.0,2154.0,0.0,,0.0,,0.0,Renter-Moderate Damage(Renter No Cost),,,,,1.0,1.0,2946.76,,9d0b60a6-9a58-4a58-bada-7c6127689411,
4332,CORPUS CHRISTI,TX,78418.0,1.0,40000.0,0.0,Owner,House/Duplex,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,483550031012015.0,207bc22d-c52b-4b47-9d45-1a20a0cf5721,2010.0
4337,ALTAMONTE SPRINGS,FL,32714.0,2.0,29000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,1.0,1002.0,0.0,,0.0,,0.0,,,,,,1.0,0.0,,121170217051003.0,d9950163-63d3-4ac2-b7e3-ee36002733fd,2010.0
4337,FORT MYERS,FL,33916.0,3.0,6588.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120710005023011.0,73608b23-939b-4ae5-b2a5-d1c6d65ff7b8,2010.0
4337,NAPLES,FL,34114.0,2.0,13000.0,0.0,Renter,Mobile Home,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,120210111032017.0,a0a3cc5f-e293-4707-81eb-f70899acc4fe,2010.0
4611,HARVEY,LA,70058.0,2.0,,0.0,Renter,Mobile Home,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.0,3183.0,0.0,,0.0,,0.0,Renter-Major Damage(Renter No Cost),,,,,1.0,0.0,4329.59,220510278031012.0,8e8cafdb-ed1e-46a0-82af-fe955a655cfc,2020.0
4332,HOUSTON,TX,77093.0,5.0,12000.0,0.0,Owner,Travel Trailer,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,0.0,482012218002008.0,ae9fed7e-fa75-4963-9de3-fdad38403652,2010.0
4337,MIAMI BEACH,FL,33141.0,1.0,3000.0,0.0,Renter,Apartment,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1.0,0.0,,120860039111001.0,fd07a5b3-54dd-43e1-85c1-107d8d0cd825,2010.0
